Location,Time,Direction,VehicleType,Speed
Pori,2018-04-01 00:00:02,1,passenger_car,103
Karkkila,2018-04-01 00:00:04,1,passenger_car,89
Nakkila,2018-04-01 00:00:09,1,passenger_car,96
Vihti,2018-04-01 00:00:37,1,passenger_car,99
Nakkila,2018-04-01 00:00:53,1,passenger_car,68
Nakkila,2018-04-01 00:01:00,2,passenger_car,80
Pori,2018-04-01 00:01:06,2,passenger_car,90
Vihti,2018-04-01 00:01:07,2,passenger_car,96
Pori,2018-04-01 00:01:12,1,passenger_car,101
Vihti,2018-04-01 00:01:13,1,passenger_car,116
Nakkila,2018-04-01 00:01:19,2,passenger_car,87
Nakkila,2018-04-01 00:01:19,1,passenger_car,78
Pori,2018-04-01 00:01:24,2,passenger_car,103
Pori,2018-04-01 00:01:34,1,passenger_car,97
Karkkila,2018-04-01 00:01:41,1,passenger_car,122
Pori,2018-04-01 00:01:55,2,passenger_car,101
Pori,2018-04-01 00:02:01,2,passenger_car,99
Vihti,2018-04-01 00:02:03,2,passenger_car,94
Vihti,2018-04-01 00:02:13,1,passenger_car,96
Nakkila,2018-04-01 00:02:17,1,passenger_car,63
Vihti,2018-04-01 00:02:25,1,passenger_car,91
Nakkila,2018-04-01 00:02:26,1,passenger_car,78
Pori,2018-04-01 00:02:30,1,passenger_car,102
Pori,2018-04-01 00:02:55,1,passenger_car,88
Nakkila,2018-04-01 00:03:01,2,passenger_car,86
Nakkila,2018-04-01 00:03:02,1,passenger_car,77
Vihti,2018-04-01 00:03:18,1,passenger_car,112
Nakkila,2018-04-01 00:03:27,2,passenger_car,80
Pori,2018-04-01 00:03:27,1,passenger_car,121
Nakkila,2018-04-01 00:03:32,2,passenger_car,82
Nakkila,2018-04-01 00:03:34,2,passenger_car,82
Pori,2018-04-01 00:03:47,1,passenger_car,103
Vihti,2018-04-01 00:04:04,2,passenger_car,112
Pori,2018-04-01 00:04:08,2,passenger_car,88
Pori,2018-04-01 00:04:11,1,passenger_car,110
Vihti,2018-04-01 00:04:37,1,passenger_car,98
Vihti,2018-04-01 00:04:41,2,passenger_car,103
Nakkila,2018-04-01 00:04:44,2,passenger_car,79
Pori,2018-04-01 00:05:01,1,passenger_car,99
Nakkila,2018-04-01 00:05:07,1,passenger_car,80
Pori,2018-04-01 00:05:11,2,passenger_car,102
Vihti,2018-04-01 00:05:17,1,passenger_car,96
Karkkila,2018-04-01 00:05:24,1,passenger_car,84
Pori,2018-04-01 00:05:30,2,passenger_car,98
Karkkila,2018-04-01 00:05:32,2,"passenger_car, trailer",77
Nakkila,2018-04-01 00:05:32,1,passenger_car,73
Pori,2018-04-01 00:05:43,1,passenger_car,97
Karkkila,2018-04-01 00:06:03,2,passenger_car,82
Vihti,2018-04-01 00:06:08,2,passenger_car,83
Karkkila,2018-04-01 00:06:16,1,passenger_car,86
Pori,2018-04-01 00:06:18,1,passenger_car,90
Pori,2018-04-01 00:06:26,1,passenger_car,117
Vihti,2018-04-01 00:06:55,2,passenger_car,98
Nakkila,2018-04-01 00:07:09,1,passenger_car,79
Pori,2018-04-01 00:07:21,1,passenger_car,100
Vihti,2018-04-01 00:07:24,2,passenger_car,81
Vihti,2018-04-01 00:07:24,1,passenger_car,92
Karkkila,2018-04-01 00:07:25,1,passenger_car,115
Nakkila,2018-04-01 00:07:27,2,passenger_car,86
Vihti,2018-04-01 00:07:28,1,passenger_car,88
Pori,2018-04-01 00:07:28,2,passenger_car,94
Vihti,2018-04-01 00:07:31,2,passenger_car,95
